Rank,Word,Score,Match,Exact,Frequency
74,PLATE,4220.0,3616,1208,0.008564
75,RINSE,4217.0,3699,1036,0.00026
76,TRAIL,4216.5,3699,1035,0.002232
77,SHORE,4216.0,3554,1324,0.004132
78,CLEAT,4212.0,3717,990,3.4e-05
79,TENOR,4210.5,3775,871,0.000536
80,CRONE,4210.0,3554,1312,5.5e-05
81,LINER,4204.5,3727,955,0.000454
82,ROUSE,4204.0,3633,1142,0.000324
83,ERASE,4202.0,3583,1238,0.000222
84,SHIRE,4201.5,3528,1347,0.00029
85,STONE,4201.5,3557,1289,0.009242
86,TRIAL,4198.5,3699,999,0.014256
87,SMEAR,4186.0,3709,954,0.000226
88,SAUCE,4181.0,3478,1406,0.001023
89,DEALT,4177.5,3641,1073,0.002895
90,YEARN,4174.5,3758,833,8.5e-05
91,STERN,4169.5,3720,899,0.001408
92,GRACE,4169.0,3539,1260,0.005154
93,WATER,4167.5,3654,1027,0.06502
94,BRACE,4165.0,3506,1318,0.000555
95,STAGE,4165.0,3542,1246,0.013588
96,REALM,4165.0,3737,856,0.001744
97,RANGE,4163.0,3641,1044,0.01967
98,TAKER,4160.5,3663,995,0.000129
99,SONAR,4155.5,3578,1155,0.000143
100,CREST,4151.0,3618,1066,0.000952
101,LANCE,4148.0,3598,1100,0.000577
102,YEAST,4147.5,3659,977,0.000869
103,PROSE,4144.0,3522,1244,0.001442
104,SPORE,4142.5,3522,1241,0.000272
105,EATER,4141.5,3633,1017,0.000134
106,AFIRE,4139.0,3646,986,4.5e-05
107,TROPE,4137.5,3572,1131,8.7e-05
108,PASTE,4131.0,3588,1086,0.000877
109,INTER,4130.0,3749,762,0.003358
110,TRIED,4130.0,3571,1118,0.009949
111,CAPER,4129.5,3585,1089,4.7e-05
112,SPIRE,4128.0,3496,1264,0.000226
113,SUITE,4127.5,3439,1377,0.001931
114,HASTE,4127.0,3620,1014,0.000733
115,LATHE,4124.0,3648,952,0.000306
116,NOISE,4123.5,3536,1175,0.005066
117,TRIPE,4123.0,3546,1154,3.7e-05
118,URINE,4123.0,3538,1170,0.001955
119,PLANE,4122.5,3497,1251,0.005764
120,READY,4122.5,3580,1085,0.01059
121,OUTER,4116.5,3683,867,0.004516
122,RISEN,4116.0,3699,834,0.001265
123,SLICE,4108.5,3407,1403,0.000636
124,CAUSE,4108.0,3478,1260,0.023538
125,TRAIN,4107.0,3602,1010,0.006463
126,HORSE,4106.0,3554,1104,0.007306
127,REGAL,4103.0,3738,730,0.000229
128,INERT,4099.5,3749,701,0.000527
129,RAMEN,4099.0,3640,918,1e-05
130,RATIO,4094.0,3726,736,0.008349
131,PLIER,4092.5,3524,1137,8e-06
132,DRONE,4090.5,3478,1225,0.000146
133,DRAPE,4087.0,3509,1156,6.2e-05
134,LAPSE,4086.5,3566,1041,0.000744
135,REACH,4086.5,3617,939,0.008376
136,LEAPT,4084.5,3616,937,0.000219
137,SWEAR,4084.0,3604,960,0.000874
138,TABLE,4083.5,3537,1093,0.038149
139,SNARL,4082.5,3551,1063,6.8e-05
140,PLEAT,4082.5,3616,933,1.7e-05
141,BEAST,4081.0,3509,1144,0.001078
142,PRONE,4080.5,3453,1255,0.000824
143,FERAL,4073.0,3645,856,8.5e-05
144,SAINT,4069.0,3384,1370,0.003308
145,LEASH,4069.0,3598,942,0.000117
146,BASTE,4068.0,3509,1118,3.8e-05
147,SKATE,4066.0,3445,1242,0.000107
148,STEAD,4062.5,3613,899,0.000446
149,AFTER,4061.5,3667,789,0.110122
150,TEASE,4059.5,3415,1289,0.000167
151,SOBER,4058.0,3443,1230,0.00068
152,STAKE,4057.5,3445,1225,0.001253
153,OPERA,4057.0,3811,492,0.002111
154,PAYER,4057.0,3555,1004,0.000171
155,RESIN,4056.0,3699,714,0.001043
156,CEDAR,4054.0,3610,888,0.001027
157,ENACT,4054.0,3620,868,0.000794
158,ANGER,4053.0,3641,824,0.002573
159,GRADE,4052.5,3463,1179,0.007744
160,CLOSE,4050.0,3433,1234,0.019273
161,AGILE,4049.5,3549,1001,0.000162
162,ASIDE,4048.5,3592,913,0.005277
163,ARGUE,4038.0,3549,978,0.002695
164,POSER,4037.0,3522,1030,2.2e-05
165,ECLAT,4036.5,3717,639,1.7e-05
166,SLANT,4036.0,3383,1306,0.000192
167,TRUCE,4033.5,3457,1153,0.000343
168,FARCE,4033.0,3446,1174,0.00026
169,CLEAN,4031.5,3598,867,0.005548
170,TRIBE,4031.0,3467,1128,0.002224
171,ANODE,4029.5,3549,961,0.000494
172,TREAT,4026.0,3522,1008,0.003561
173,PANEL,4024.5,3497,1055,0.004043
174,PETAL,4021.0,3616,810,0.000122
175,BLEAT,4019.5,3537,965,1.9e-05
176,REPAY,4019.5,3555,929,0.000577
177,CHASE,4019.5,3399,1241,0.00172
178,SPACE,4019.0,3367,1304,0.019334
179,GRAPE,4018.0,3438,1160,0.00065
180,MEANT,4016.5,3472,1089,0.006806
181,CADET,4016.0,3442,1148,0.000285
182,ELATE,4012.5,3443,1139,1.7e-05
183,SEPIA,4009.0,3567,884,7.1e-05
184,HAUTE,4008.5,3459,1099,0.000214
185,CRAVE,4007.0,3388,1238,0.000154
186,STRAY,4006.5,3441,1131,0.000453
187,LEASE,4006.5,3393,1227,0.00429
188,LOUSE,4005.0,3443,1124,0.000104
189,PLACE,4004.5,3395,1219,0.053418
190,BRINE,4003.0,3348,1310,0.000417
191,FEAST,4002.0,3449,1106,0.001206
192,FORTE,4002.0,3433,1138,0.000163
193,FALSE,3999.0,3427,1144,0.005753
194,STAVE,3998.5,3391,1215,0.000137
195,NURSE,3998.0,3509,978,0.002973
196,GAYER,3998.0,3509,978,2.8e-05
197,THEIR,3998.0,3578,840,0.256934
198,OLDER,3998.0,3575,846,0.007037
199,WROTE,3996.5,3420,1153,0.009251
200,ISLET,3994.5,3628,733,0.000166
201,ALIKE,3993.5,3452,1083,0.00229
202,SALVE,3993.0,3369,1248,8.9e-05
203,SLIDE,3992.0,3331,1322,0.001848
204,CLONE,3986.5,3364,1245,0.000236
205,CRUEL,3986.5,3435,1103,0.001437
206,STEIN,3984.5,3531,907,0.000623
207,BORNE,3983.5,3374,1219,0.002458
208,HEARD,3983.0,3541,884,0.015502
209,CORAL,3982.5,3504,957,0.000799
210,WRITE,3982.0,3394,1176,0.010698
211,SWORE,3982.0,3370,1224,0.000469
212,ACUTE,3981.0,3528,906,0.004264
213,SEDAN,3980.5,3494,973,0.0002
214,CAROL,3980.0,3504,952,0.000867
215,LADEN,3979.0,3522,914,0.000711
216,PAUSE,3978.5,3377,1203,0.001358
217,CURSE,3976.5,3407,1139,0.000894
218,AVERT,3976.5,3609,735,0.000275
219,SHADE,3976.0,3323,1306,0.001859
220,WEARY,3974.5,3403,1143,0.001035
221,DELTA,3974.0,3641,666,0.001695
222,TIGER,3973.5,3500,947,0.00073
223,POISE,3972.5,3333,1279,0.000139
224,SLOPE,3972.0,3332,1280,0.002867
225,SOWER,3970.0,3370,1200,5.2e-05
226,TIMER,3969.5,3499,941,0.000282
227,ARTSY,3967.5,3441,1053,9e-06
228,SCONE,3962.0,3336,1252,3.5e-05
229,RAINY,3961.5,3351,1221,0.000563
230,CHORE,3961.5,3383,1157,0.000102
231,CREAM,3961.0,3538,846,0.002739
232,INLET,3961.0,3559,804,0.001228
233,MERIT,3960.0,3499,922,0.002725
234,STATE,3958.5,3304,1309,0.117143
235,METAL,3957.0,3569,776,0.010224
236,SPITE,3954.5,3328,1253,0.003791
237,CARVE,3954.0,3388,1132,0.000163
238,PERIL,3953.0,3524,858,0.000652
239,ARSON,3952.5,3578,749,0.000217
240,STEAM,3952.5,3541,823,0.006311
241,FLIER,3950.5,3385,1131,4.9e-05
242,THOSE,3950.5,3386,1129,0.093849
243,WASTE,3949.5,3436,1027,0.007614
244,RELIC,3948.5,3625,647,0.00025
245,PRICE,3948.0,3325,1246,0.02469
246,SINCE,3947.5,3310,1275,0.050869
247,UTILE,3947.0,3467,960,3.1e-05
248,DRAKE,3946.5,3366,1161,0.000688
249,ONSET,3946.5,3557,779,0.001502
250,SHONE,3945.0,3267,1356,0.000585
251,SNAKE,3943.5,3326,1235,0.001122
252,RAVEN,3943.0,3490,906,0.000446
253,ANIME,3942.5,3451,983,2.6e-05
254,MATEY,3942.0,3340,1204,1e-05
255,SHAPE,3941.5,3298,1287,0.007462
256,SLAIN,3941.5,3362,1159,0.000664
257,DINER,3941.5,3452,979,0.000138
258,TEACH,3940.5,3449,983,0.003669
259,NICER,3940.0,3528,824,0.000104
260,SKIER,3938.5,3353,1171,4.2e-05
261,SATYR,3938.5,3441,995,6e-05
262,TROVE,3938.0,3375,1126,5.1e-05
263,GONER,3937.5,3407,1061,1.1e-05
264,SWEAT,3936.5,3436,1001,0.000972
265,ALIVE,3934.5,3398,1073,0.00339
266,VALET,3934.0,3419,1030,0.000163
267,CRIED,3933.5,3350,1167,0.002892
268,OTHER,3932.5,3604,657,0.208524
269,SHINE,3930.5,3241,1379,0.000725
270,WORSE,3928.5,3370,1117,0.004204
271,BARGE,3928.0,3359,1138,0.000621
272,STYLE,3925.5,3398,1055,0.008489
273,BEARD,3924.0,3430,988,0.000982
274,TREND,3919.5,3473,893,0.00344
275,SLIME,3919.5,3259,1321,0.000189
276,MEATY,3918.5,3340,1157,4.5e-05
277,STEER,3918.5,3344,1149,0.000472
278,SATIN,3918.0,3384,1068,0.000338
279,HAREM,3917.0,3469,896,0.000116
280,TRASH,3917.0,3402,1030,0.000494
281,TERSE,3917.0,3344,1146,0.000103
282,CHEAT,3916.0,3449,934,0.000288
283,PENAL,3915.0,3497,836,0.001182
284,EMAIL,3912.5,3548,729,0.001133
285,TOWER,3912.0,3420,984,0.003153
286,COAST,3911.5,3308,1207,0.009063
287,ENTRY,3911.0,3519,784,0.006841
288,SMOTE,3910.5,3307,1207,0.000142
289,SALON,3909.5,3388,1043,0.000361
290,MEALY,3908.0,3318,1180,6.1e-05
291,MISER,3908.0,3449,918,9.6e-05
292,REMIT,3908.0,3499,818,0.000309
293,OVATE,3907.5,3446,923,0.000346
294,CAIRN,3905.0,3381,1048,8.6e-05
295,TRIAD,3905.0,3424,962,0.000228
296,TERRA,3904.0,3521,766,0.000422
297,SHAME,3903.5,3251,1305,0.001673
298,SPADE,3902.5,3291,1223,0.000235
299,STAIN,3902.0,3384,1036,0.000749
300,CREAK,3900.5,3442,917,6.8e-05
301,OCEAN,3900.0,3625,550,0.005035
302,SNAIL,3897.5,3362,1071,0.000234
303,IDLER,3897.0,3549,696,8.7e-05
304,FRAME,3897.0,3298,1198,0.005652
305,SMITE,3896.0,3281,1230,8.9e-05
306,GAMER,3896.0,3391,1010,2.3e-05
307,RECAP,3895.0,3585,620,4.5e-05
308,IDEAL,3894.0,3620,548,0.004788
309,SALTY,3893.0,3251,1284,0.000159
310,STEAK,3892.0,3445,894,0.000297
311,ANGLE,3890.0,3451,878,0.005463
312,PHASE,3890.0,3298,1184,0.011014
313,CRIME,3888.5,3278,1221,0.00662
314,SPIEL,3888.5,3306,1165,2.4e-05
315,SNORT,3888.0,3339,1098,8.9e-05
316,LEACH,3887.5,3427,921,0.000386
317,CABLE,3887.0,3316,1142,0.003794
318,SMILE,3885.5,3259,1253,0.00428
319,DANCE,3885.0,3323,1124,0.003617
320,DELAY,3885.0,3390,990,0.004816
321,TRITE,3883.5,3262,1243,9.2e-05
322,CRAZE,3881.5,3275,1213,0.000104
323,HOTEL,3880.0,3414,932,0.005725
324,SMART,3879.0,3323,1112,0.001639
325,FETAL,3879.0,3477,804,0.000875
326,TONAL,3879.0,3438,882,0.000198
327,BREAD,3878.5,3430,897,0.003555
328,SUPER,3874.5,3306,1137,0.001844
329,FILER,3874.0,3385,978,6.2e-05
330,BRAKE,3873.5,3262,1223,0.001264
331,MINER,3867.5,3380,975,0.000639
332,CAMEL,3866.0,3348,1036,0.000405
333,SURGE,3865.5,3260,1211,0.00058
334,LATTE,3863.5,3332,1063,2.9e-05
335,CEASE,3863.0,3194,1338,0.002061
336,HEIST,3860.0,3360,1000,2.2e-05
337,BRUTE,3860.0,3277,1166,0.00038
338,LOWER,3859.0,3398,922,0.022507
339,METRO,3858.5,3525,667,0.000512
340,TILDE,3857.5,3381,953,1.3e-05
341,EASEL,3857.5,3393,929,9.3e-05
342,SPINE,3857.0,3209,1296,0.001256
343,VOTER,3856.5,3375,963,0.000687
344,POLAR,3856.0,3403,906,0.001292
345,AGENT,3854.5,3473,763,0.010142
346,HERON,3852.5,3485,735,0.000224
347,CIDER,3852.0,3350,1004,0.000257
348,TALON,3851.5,3438,827,5.8e-05
349,TASTE,3851.0,3304,1094,0.004093
350,SLEPT,3849.5,3327,1045,0.001167
351,PURSE,3847.0,3306,1082,0.000817
352,NOSEY,3845.0,3306,1078,1.3e-05
353,CAMEO,3844.5,3375,939,7.3e-05
354,ULCER,3844.5,3435,819,0.000559
355,ACTOR,3843.5,3526,635,0.001512
356,UNITE,3843.5,3370,947,0.000984
357,GLEAN,3843.0,3451,784,7.5e-05
358,RESET,3842.5,3344,997,0.00032
359,RIFLE,3842.5,3385,915,0.001158
360,SUAVE,3841.5,3180,1323,5.3e-05
361,DREAM,3841.5,3462,759,0.003963
362,DEATH,3840.0,3373,934,0.026242
363,WREST,3840.0,3365,950,9.4e-05
364,SCENT,3839.5,3331,1017,0.000681
365,ROYAL,3839.0,3474,730,0.009183
366,TAPIR,3839.0,3399,880,2.2e-05
367,SNIDE,3838.5,3234,1209,2.2e-05
368,ROUGE,3838.5,3315,1047,0.000591
369,NAIVE,3838.0,3301,1074,0.000469
370,SPELT,3836.0,3327,1018,0.000136
371,ANGEL,3834.5,3451,767,0.001788
372,SERIF,3833.5,3357,953,3.1e-05
373,SCARY,3832.5,3220,1225,0.000207
374,TAKEN,3832.5,3376,913,0.037977
375,RIPEN,3832.5,3427,811,0.000162
376,GRAIL,3831.5,3331,1001,0.000122
377,PRIDE,3831.5,3249,1165,0.003052
378,GLADE,3829.0,3273,1112,0.000103
379,SHALT,3827.0,3212,1230,0.000777
380,ARENA,3825.5,3411,829,0.000848
381,PRUNE,3825.5,3237,1177,0.000146
382,LOVER,3825.5,3353,945,0.001624
383,RECUT,3825.5,3457,737,1.1e-05
384,BLADE,3825.0,3240,1170,0.001657
385,DEBAR,3821.0,3430,782,4e-05
386,MOTEL,3820.0,3335,970,0.000334
387,CREPT,3818.5,3346,945,0.000497
388,GRAVE,3818.5,3241,1155,0.003178
389,GRANT,3816.5,3255,1123,0.010559
390,BRAVE,3814.5,3208,1213,0.001584
391,EATEN,3813.5,3346,935,0.001279
392,LITHE,3812.5,3388,849,7.2e-05
393,RIVET,3812.0,3349,926,0.00018
394,FACET,3811.0,3278,1066,0.000288
395,SLEET,3810.5,3154,1313,9.7e-05
396,HORDE,3808.0,3307,1002,0.000129
397,ASHEN,3807.5,3501,613,5.7e-05
398,STORY,3806.5,3207,1199,0.015216
399,CUTIE,3805.0,3268,1074,0
400,SNEER,3804.5,3225,1159,0.000155
401,SNIPE,3804.0,3209,1190,8.4e-05
402,PRIED,3804.0,3249,1110,4.7e-05
403,SHAKE,3801.0,3155,1292,0.001363
404,GRUEL,3798.0,3288,1020,6.3e-05
405,REFIT,3798.0,3407,782,3.8e-05
406,AMUSE,3798.0,3330,936,0.000249
407,RACER,3797.5,3300,995,6e-05
408,ROGUE,3792.5,3315,955,0.000276
409,MOLAR,3792.0,3356,872,0.000506
410,STOKE,3792.0,3211,1162,0.000189
411,AGREE,3792.0,3265,1054,0.007434
412,DRAIN,3791.0,3305,972,0.001587
413,WISER,3790.5,3344,893,0.000421
414,RELAX,3790.0,3476,628,0.000769
415,REIGN,3790.0,3381,818,0.002531
416,FINER,3789.5,3288,1003,0.000817
417,MORAL,3789.0,3356,866,0.008495
418,BLUER,3789.0,3255,1068,2.2e-05
419,BATHE,3788.0,3269,1038,0.000204
420,ULTRA,3787.5,3509,557,0.000819
421,FORCE,3786.5,3212,1149,0.025493
422,OAKEN,3783.5,3381,805,4.9e-05
423,DECAL,3782.5,3420,725,2.4e-05
424,LUNAR,3781.5,3390,783,0.000666
425,STRAP,3781.5,3370,823,0.000403
426,RADIO,3779.0,3429,700,0.007209
427,SNEAK,3778.0,3326,904,0.000198
428,WAGER,3777.5,3286,983,0.000204
429,SMELT,3777.5,3280,995,0.000157
430,SCREE,3777.0,3123,1308,3.1e-05
431,UNTIE,3775.5,3370,811,5.1e-05
432,MAPLE,3773.0,3247,1052,0.000758
433,BAKER,3771.5,3262,1019,0.002659
434,DAIRY,3770.5,3173,1195,0.002719
435,MAKER,3770.5,3294,953,0.001654
436,BRIDE,3768.5,3170,1197,0.001202
437,PARER,3768.0,3199,1138,7e-06
438,ANKLE,3765.5,3354,823,0.000556
439,SINGE,3763.5,3163,1201,2.4e-05
440,CREDO,3760.5,3376,769,8.8e-05
441,LIVER,3760.5,3327,867,0.003388
442,ERUPT,3759.5,3356,807,7.4e-05
443,PRIME,3759.0,3177,1164,0.005069
444,REPLY,3758.5,3294,929,0.004658
445,ACORN,3758.5,3407,703,0.000119
446,USAGE,3757.5,3331,853,0.002195
447,SCANT,3757.0,3184,1146,0.000313
448,HAIRY,3756.5,3180,1153,0.000433
449,CHART,3756.5,3231,1051,0.003008
450,ABUSE,3755.0,3298,914,0.004238
451,CHOSE,3754.0,3165,1178,0.002245
452,BLAME,3752.5,3168,1169,0.001865
453,GROPE,3752.5,3204,1097,5.2e-05
454,DECOR,3752.0,3376,752,0.000154
455,EAGER,3751.5,3265,973,0.001554
456,SHOAL,3751.5,3217,1069,0.000264
457,OPINE,3750.0,3264,972,2.3e-05
458,RETCH,3750.0,3378,744,1.1e-05
459,SPENT,3749.0,3230,1038,0.007822
460,LEAKY,3748.5,3222,1053,0.000122
461,FRAIL,3748.5,3238,1021,0.000351
462,ABORT,3747.0,3346,802,9.5e-05
463,SOLVE,3746.5,3135,1223,0.00262
464,SHORT,3745.5,3168,1155,0.024686
465,CAGEY,3745.5,3120,1251,1.2e-05
466,FLAIR,3743.5,3238,1011,0.000121
467,LEAFY,3742.5,3226,1033,0.000247
468,SHAVE,3742.0,3101,1282,0.000193
469,LOATH,3741.0,3267,948,0.000108
470,AMBER,3740.0,3358,764,0.000534
471,SPICE,3739.0,3107,1264,0.000307
472,DIARY,3739.0,3173,1132,0.001343
473,GRIPE,3738.0,3178,1120,3.9e-05
474,PLAIT,3738.0,3209,1058,4.6e-05
475,TUBER,3737.0,3277,920,0.00015
476,STOVE,3733.0,3157,1152,0.000878
477,STARK,3732.5,3227,1011,0.000771
478,ELITE,3732.5,3183,1099,0.001222
479,WHALE,3732.0,3174,1116,0.000654
480,NAVEL,3731.5,3300,863,0.000136
481,SHIRT,3731.0,3142,1178,0.001739
482,HOUSE,3728.0,3175,1106,0.053721
483,RAYON,3727.0,3377,700,0.000245
484,UNSET,3726.5,3341,771,1.3e-05
485,FILET,3726.5,3217,1019,3.2e-05
486,PARTY,3724.5,3169,1111,0.02705
487,ROACH,3724.5,3236,977,0.000201
488,AZURE,3724.5,3285,879,0.000194
489,GRAIN,3722.0,3234,976,0.006219
490,CRASH,3720.5,3181,1079,0.000958
491,CRUDE,3720.5,3160,1121,0.002602
492,LABOR,3719.5,3324,791,0.020068
493,PROBE,3719.5,3171,1097,0.001253
494,CHAIR,3719.0,3210,1018,0.006121
495,BOAST,3719.0,3128,1182,0.000549
496,TARDY,3718.5,3194,1049,0.000123
497,GROAN,3718.5,3260,917,0.000268
498,BRAIN,3718.0,3201,1034,0.00673
499,PLEAD,3718.0,3319,798,0.000693
500,STAID,3718.0,3206,1024,0.000138
501,COWER,3715.5,3199,1033,3e-05
502,DEITY,3712.5,3152,1121,0.000755
503,ABODE,3712.0,3267,890,0.000553
504,EXALT,3711.5,3308,807,0.000125
505,SAVOR,3709.0,3178,1062,8.9e-05
506,ESTER,3708.5,3344,729,0.000484
507,BREAK,3708.0,3262,892,0.006402
508,DROIT,3706.0,3190,1032,0.000186
509,PEDAL,3706.0,3319,774,0.000295
510,SERUM,3705.5,3259,893,0.002616
511,MANOR,3705.0,3259,892,0.000984
512,HOMER,3704.5,3235,939,0.001002
513,EXTRA,3703.0,3498,410,0.00554
514,THREE,3702.0,3104,1196,0.070366
515,REHAB,3701.0,3437,528,0.000107
516,GRIME,3700.0,3131,1138,6.6e-05
517,STEEL,3700.0,3154,1092,0.012579
518,NADIR,3698.0,3305,786,9.9e-05
519,ABIDE,3697.5,3241,913,0.000621
520,TRAWL,3697.0,3246,902,0.000136
521,SWINE,3696.5,3057,1279,0.000656
522,COPSE,3696.5,3133,1127,5.6e-05
523,ASSET,3695.5,3292,807,0.002176
524,TOWEL,3693.5,3230,927,0.000483
525,OVERT,3693.0,3375,636,0.000529
526,SCOPE,3693.0,3133,1120,0.005273
527,GRAZE,3693.0,3128,1130,0.000148
528,BOULE,3692.5,3092,1201,2.9e-05
529,ADOBE,3691.5,3267,849,0.000247
530,INANE,3691.5,3176,1031,4.1e-05
531,COMET,3690.5,3136,1109,0.000415
532,VALUE,3689.5,3208,963,0.040541
533,DIRGE,3689.5,3203,973,5.5e-05
534,SPREE,3686.5,3022,1329,7.7e-05
535,REUSE,3685.0,3133,1104,0.000338
536,PAINT,3685.0,3112,1146,0.002687
537,PESTO,3683.5,3354,659,3.2e-05
538,COVER,3682.0,3154,1056,0.010718
539,TRAIT,3681.5,3115,1133,0.000666
540,BARON,3678.0,3227,902,0.001256
541,BAGEL,3677.5,3169,1017,3e-05
542,OWNER,3677.0,3301,752,0.008376
543,SPRAY,3676.5,3119,1115,0.001666
544,GLOAT,3675.5,3189,973,2.5e-05
545,ENTER,3675.0,3275,800,0.008709
546,GUILE,3674.0,3099,1150,8.3e-05
547,FLAME,3673.5,3108,1131,0.002054
548,PAPER,3673.0,3157,1032,0.025521
549,ADORN,3672.5,3331,683,0.0002
550,SPORT,3672.0,3136,1072,0.002121
551,BLOAT,3671.5,3156,1031,2.9e-05
552,CRIER,3670.5,3040,1261,4.9e-05
553,OLDEN,3670.0,3288,764,0.000163
554,FIERY,3669.5,3156,1027,0.000534
555,POESY,3669.0,3103,1132,5.1e-05
556,RISER,3669.0,3211,916,0.00012
557,LOOSE,3669.0,3068,1202,0.002997
558,SHIED,3668.5,3063,1211,4.3e-05
559,FOYER,3668.5,3182,973,0.000143
560,MOUSE,3668.0,3096,1144,0.001769
561,OTTER,3667.5,3288,759,0.000281
562,WAFER,3663.5,3193,941,0.000268
563,PECAN,3663.0,3298,730,0.00012
564,VERSO,3663.0,3325,676,0.000206
565,NOBLE,3662.0,3184,956,0.00475
566,IRONY,3662.0,3117,1090,0.000653
567,SHEER,3662.0,3054,1216,0.000954
568,FRIED,3662.0,3110,1104,0.000496
569,START,3661.5,3086,1151,0.010553
570,ADEPT,3661.0,3341,640,0.000209
571,FLORA,3659.5,3264,791,0.00115
572,NERDY,3659.0,3222,874,0
573,DECAY,3658.0,3191,934,0.001991
574,ALLEY,3658.0,3091,1134,0.000726
575,AMPLE,3656.5,3247,819,0.001848
576,SPLAT,3656.5,3180,953,1.9e-05
577,BLAST,3652.5,3101,1103,0.001391
578,PLANT,3652.0,3111,1082,0.019852
579,OLIVE,3651.0,3164,974,0.001464
580,CORER,3651.0,3066,1170,1.4e-05
581,GUISE,3650.5,3071,1159,0.00041
582,HONEY,3649.5,3066,1167,0.001843
583,SCALY,3648.5,3030,1237,0.000127
584,HEADY,3646.5,3122,1049,0.000117
585,SHARD,3646.5,3105,1083,3e-05
586,REBUT,3645.5,3277,737,0.000134
587,SURER,3642.5,3021,1243,9.2e-05
588,OUNCE,3642.5,3175,935,0.000832
589,RIDGE,3642.5,3203,879,0.002652
590,MEDAL,3642.0,3272,740,0.001178
591,TAROT,3641.5,3141,1001,4.7e-05
592,IMAGE,3640.0,3202,876,0.009072
593,BEGAT,3639.0,3191,896,6e-05
594,TWINE,3638.5,3107,1063,0.000224
595,ERODE,3638.5,3102,1073,0.000119
596,SOAPY,3638.0,2956,1364,5.8e-05
597,PIETY,3638.0,3127,1022,0.000748
598,ERECT,3632.5,3173,919,0.001402
599,STAND,3632.0,3108,1048,0.011006
600,USHER,3632.0,3338,588,0.000259
601,CHEST,3631.5,3160,943,0.003535
602,PULSE,3631.5,3116,1031,0.002764
603,LEERY,3630.5,3121,1019,2.2e-05
604,FECAL,3630.5,3256,749,0.000234
