Rank,Word,Score,Match,Exact,Frequency
121,HERAT,7860.5,7006,1709,5.3e-05
122,HEART,7858.0,7006,1704,0.019077
123,ALICE,7853.5,6889,1929,0.001798
124,LAGER,7852.5,6853,1999,6.9e-05
125,BLARE,7851.0,6831,2040,2.7e-05
126,LANEY,7850.5,6646,2409,4.5e-05
127,AERIE,7849.0,6771,2156,1.5e-05
128,SHALE,7841.5,6714,2255,0.001467
129,LOREN,7839.5,6822,2035,9.7e-05
130,EARTH,7834.0,7006,1656,0.014159
131,SLADE,7833.5,6738,2191,0.000168
132,ORIEL,7831.5,6947,1769,7.6e-05
133,SAUCE,7825.0,6566,2518,0.001023
134,STAIR,7820.5,6897,1847,0.000297
135,TREAD,7819.5,7030,1579,0.00053
136,GLARE,7811.5,6853,1917,0.000455
137,OILER,7810.5,6947,1727,4.9e-05
138,BEIRA,7808.5,6945,1727,3.8e-05
139,PEARL,7805.0,6947,1716,0.001258
140,CADRE,7804.0,6703,2202,0.000177
141,MANSE,7803.5,6667,2273,6.9e-05
142,ROAST,7794.5,6886,1817,0.000391
143,LINER,7790.5,6833,1915,0.000454
144,HANSE,7790.0,6703,2174,2.3e-05
145,OSIER,7788.5,7042,1493,4.8e-05
146,SWARE,7782.5,6731,2103,1.9e-05
147,AREND,7780.5,7010,1541,1.7e-05
148,YEARN,7772.5,7024,1497,8.5e-05
149,ARIST,7762.0,6897,1730,1.8e-05
150,RISEN,7755.0,6928,1654,0.001265
151,TRIAS,7753.5,6897,1713,3.5e-05
152,MANES,7753.5,6667,2173,6.6e-05
153,STADE,7753.5,6747,2013,2.4e-05
154,TARSI,7749.5,6897,1705,0.000151
155,GAINE,7749.5,6578,2343,2.1e-05
156,STRIA,7749.0,6897,1704,4.5e-05
157,LITER,7747.0,6853,1788,0.000483
158,SABLE,7745.0,6548,2394,0.000212
159,CORSE,7743.0,6610,2266,4.5e-05
160,ASPER,7739.5,7042,1395,2.1e-05
161,REINS,7735.0,6928,1614,0.000354
162,ERASE,7734.0,6752,1964,0.000222
163,PALES,7731.0,6664,2134,4.6e-05
164,PASTE,7725.5,6673,2105,0.000877
165,SPATE,7724.5,6673,2103,7.3e-05
166,REDAN,7723.0,7010,1426,1.3e-05
167,SAINT,7717.5,6508,2419,0.003308
168,KAREN,7716.0,6682,2068,0.00073
169,CAUSE,7712.0,6566,2292,0.023538
170,AIDES,7708.0,6852,1712,0.000326
171,TAKER,7707.5,6702,2011,0.000129
172,HASTE,7707.0,6723,1968,0.000733
173,CAPER,7703.0,6629,2148,4.7e-05
174,RATIO,7692.0,6905,1574,0.008349
175,NITER,7691.5,6842,1699,1.5e-05
176,TRAIN,7680.0,6791,1778,0.006463
177,SLONE,7678.5,6539,2279,1.4e-05
178,REALM,7677.0,6961,1432,0.001744
179,EATER,7674.0,6666,2016,0.000134
180,GREAT,7672.5,6862,1621,0.0685
181,PACER,7671.5,6629,2085,2.8e-05
182,TRAIL,7669.0,6802,1734,0.002232
183,NOISE,7669.0,6653,2032,0.005066
184,SEPIA,7667.5,6778,1779,7.1e-05
185,TENOR,7666.0,6831,1670,0.000536
186,PANEL,7662.5,6558,2209,0.004043
187,SELAH,7661.0,6714,1894,3.5e-05
188,TRIAL,7657.5,6802,1711,0.014256
189,SEDAN,7655.5,6727,1857,0.0002
190,LORAN,7653.0,6771,1764,5.6e-05
191,LAPSE,7652.0,6664,1976,0.000744
192,WATER,7651.5,6645,2013,0.06502
193,SNAPE,7648.5,6653,1991,2.1e-05
194,LAKER,7647.5,6693,1909,1.7e-05
195,CRAPE,7646.5,6629,2035,3.6e-05
196,LAYNE,7644.0,6646,1996,4.6e-05
197,SCENA,7642.5,6859,1567,1.3e-05
198,STINE,7641.0,6559,2164,3e-05
199,ARETE,7640.0,6666,1948,2e-05
200,LATED,7634.5,6652,1965,9.7e-05
201,ASIDE,7632.5,6852,1561,0.005277
202,FLARE,7630.5,6663,1935,0.000332
203,PATEN,7630.0,6567,2126,2.6e-05
204,RESIN,7628.5,6928,1401,0.001043
205,BASTE,7622.0,6557,2130,3.8e-05
206,THANE,7621.5,6617,2009,6.7e-05
207,ENTAL,7621.0,7091,1060,1.7e-05
208,CLEAT,7619.0,6784,1670,3.4e-05
209,STILE,7617.0,6570,2094,9.6e-05
210,SNARL,7615.5,6763,1705,6.8e-05
211,AFIRE,7614.0,6777,1674,4.5e-05
212,LADEN,7612.5,6632,1961,0.000711
213,TRONA,7609.5,6780,1659,1.7e-05
214,STERN,7608.0,6823,1570,0.001408
215,SCORE,7603.5,6610,1987,0.00312
216,LAVER,7603.5,6620,1967,4.2e-05
217,TRAVE,7603.0,6629,1948,1.3e-05
218,FERIA,7602.0,6777,1650,2.1e-05
219,LEPRA,7599.5,6947,1305,1.4e-05
220,ROUSE,7599.0,6624,1950,0.000324
221,STONE,7598.5,6548,2101,0.009242
222,ANGER,7595.5,6842,1507,0.002573
223,PLANE,7594.5,6558,2073,0.005764
224,STAGE,7588.0,6579,2018,0.013588
225,CRONE,7584.0,6504,2160,5.5e-05
226,BRACE,7581.5,6513,2137,0.000555
227,SATIN,7581.5,6508,2147,0.000338
228,AMINE,7579.5,6686,1787,0.000275
229,ERNST,7575.5,6823,1505,0.000514
230,STOLE,7574.5,6559,2031,0.00056
231,PLATE,7573.0,6578,1990,0.008564
232,SHIRE,7572.0,6465,2214,0.00029
233,AFORE,7571.5,6766,1611,0.000157
234,LATHE,7570.0,6628,1884,0.000306
235,TRICE,7567.5,6535,2065,4.7e-05
236,BLASE,7563.0,6548,2030,2.1e-05
237,SWEAR,7559.5,6731,1657,0.000874
238,PADRE,7559.5,6497,2125,0.000164
239,CLEAN,7558.5,6764,1589,0.005548
240,SETAE,7558.5,6383,2351,0.000386
241,SIDER,7557.5,6489,2137,4.4e-05
242,RAVEN,7557.5,6609,1897,0.000446
243,OPERA,7552.5,7050,1005,0.002111
244,ARSON,7550.0,6866,1368,0.000217
245,SEPAL,7549.0,6664,1770,2.7e-05
246,TABES,7547.0,6557,1980,4.9e-05
247,RAVEL,7546.5,6620,1853,6.4e-05
248,YEAST,7545.0,6761,1568,0.000869
249,SERRA,7544.0,6546,1996,0.000106
250,DEARY,7542.5,6585,1915,1.2e-05
251,STEAD,7542.5,6747,1591,0.000446
252,GRACE,7542.0,6535,2014,0.005154
253,SALON,7539.5,6488,2103,0.000361
254,CEDAR,7537.5,6703,1669,0.001027
255,INTER,7535.5,6842,1387,0.003358
256,REGAL,7534.5,6853,1363,0.000229
257,MOIRE,7531.5,6437,2189,3.4e-05
258,SNEAD,7530.0,6727,1606,3e-05
259,SHORE,7529.5,6454,2151,0.004132
260,ANODE,7528.0,6735,1586,0.000494
261,CAIRO,7524.5,6578,1893,0.000855
262,SOLAN,7523.5,6488,2071,1.5e-05
263,SANTO,7522.5,6497,2051,0.000305
264,PAYER,7522.5,6511,2023,0.000171
265,SEPTA,7522.0,6673,1698,0.000149
266,SALVE,7520.5,6337,2367,8.9e-05
267,DEALT,7518.0,6652,1732,0.002895
268,MAYER,7517.5,6525,1985,0.000481
269,MEANT,7511.5,6581,1861,0.006806
270,ROUTE,7505.5,6538,1935,0.00534
271,ALEUT,7505.5,6798,1415,3.9e-05
272,ANIME,7504.0,6686,1636,2.6e-05
273,GALEN,7503.0,6464,2078,0.00018
274,TABLE,7501.0,6462,2078,0.038149
275,SURAT,7501.0,6479,2044,0.000104
276,ASTIR,7500.0,6897,1206,2.8e-05
277,LEASH,7500.0,6714,1572,0.000117
278,RATER,7497.0,6460,2074,6.4e-05
279,MORSE,7493.5,6418,2151,0.000688
280,MELIA,7487.5,6697,1581,2.3e-05
281,SALLE,7485.0,6208,2554,0.000266
282,BEAST,7485.0,6557,1856,0.001078
283,URINE,7485.0,6529,1912,0.001955
284,SACRO,7484.5,6559,1851,3.7e-05
285,SLAKE,7484.0,6410,2148,3e-05
286,FERAL,7483.5,6663,1641,8.5e-05
287,SLAIN,7483.0,6499,1968,0.000664
288,CAIRN,7481.5,6464,2035,8.6e-05
289,RAYED,7481.0,6585,1792,5.4e-05
290,HORSE,7480.0,6454,2052,0.007306
291,TEASE,7473.5,6383,2181,0.000167
292,ARCHE,7470.5,6679,1583,1.9e-05
293,FARCE,7468.0,6345,2246,0.00026
294,PAUSE,7467.5,6360,2215,0.001358
295,READY,7463.5,6585,1757,0.01059
296,MENSA,7463.0,6667,1592,2.2e-05
297,HAREM,7458.5,6487,1943,0.000116
298,FALSE,7457.0,6380,2154,0.005753
299,CASED,7457.0,6420,2074,8.3e-05
300,SPIRE,7452.5,6415,2075,0.000226
301,PERCA,7451.5,6629,1645,1.3e-05
302,ABIES,7450.5,6662,1577,7.4e-05
303,HAUSE,7449.0,6410,2078,1.5e-05
304,REACH,7449.0,6679,1540,0.008376
305,SETON,7449.0,6548,1802,0.000137
306,SPIER,7447.0,6415,2064,2.2e-05
307,PHARE,7445.5,6473,1945,1.7e-05
308,MORES,7443.5,6418,2051,0.000159
309,ASTOR,7442.0,6886,1112,0.000179
310,CADET,7441.5,6334,2215,0.000285
311,SKATE,7437.5,6419,2037,0.000107
312,MARGE,7431.0,6343,2176,8.3e-05
313,SURAL,7429.5,6470,1919,1.7e-05
314,ENACT,7429.0,6773,1312,0.000794
315,DRAPE,7427.5,6497,1861,6.2e-05
316,CAROL,7426.5,6464,1925,0.000867
317,RAINY,7425.5,6346,2159,0.000563
318,AGILE,7425.0,6589,1672,0.000162
319,MORNE,7421.5,6312,2219,1.9e-05
320,SLANT,7419.5,6394,2051,0.000192
321,SUITE,7418.5,6266,2305,0.001931
322,CARVE,7418.5,6302,2233,0.000163
323,RILEY,7418.0,6408,2020,0.00067
324,LEASE,7413.5,6374,2079,0.00429
325,STEAM,7411.5,6687,1449,0.006311
326,DANCE,7411.5,6314,2195,0.003617
327,PROSE,7411.5,6404,2015,0.001442
328,CORAL,7410.5,6464,1893,0.000799
329,SPORE,7410.0,6404,2012,0.000272
330,AFTER,7409.0,6672,1474,0.110122
331,ARGUE,7408.5,6549,1719,0.002695
332,INERT,7408.0,6842,1132,0.000527
333,SOBER,7407.5,6288,2239,0.00068
334,AUGER,7407.0,6549,1716,0.000207
335,MESAL,7407.0,6678,1458,1.4e-05
336,AGONE,7406.5,6567,1679,1.2e-05
337,LEATH,7406.5,6628,1557,1.9e-05
338,SLAVE,7406.0,6337,2138,0.002979
339,STAKE,7404.0,6419,1970,0.001253
340,AEGIS,7404.0,6684,1440,0.000132
341,STAIN,7403.0,6508,1790,0.000749
342,OCEAN,7402.5,6867,1071,0.005035
343,NURSE,7402.5,6510,1785,0.002973
344,CHASE,7402.0,6396,2012,0.00172
345,PENAL,7401.5,6558,1687,0.001182
346,SWALE,7398.5,6353,2091,3e-05
347,CREAM,7397.0,6643,1508,0.002739
348,SPACE,7395.5,6346,2099,0.019334
349,CROAT,7395.0,6473,1844,5.9e-05
350,ALLER,7395.0,6491,1808,5.7e-05
351,TUNER,7394.5,6424,1941,6.6e-05
352,SNAKE,7391.5,6399,1985,0.001122
353,ANKER,7390.5,6682,1417,2.5e-05
354,CRAKE,7389.5,6375,2029,1.3e-05
355,SINCE,7389.5,6232,2315,0.050869
356,AREAL,7386.0,6591,1590,0.000141
357,POSER,7385.5,6404,1963,2.2e-05
358,TRIED,7383.5,6403,1961,0.009949
359,OSAGE,7381.0,6673,1416,0.000155
360,ARENA,7380.5,6580,1601,0.000848
361,SNAIL,7379.5,6499,1761,0.000234
362,PAGER,7376.5,6329,2095,3.7e-05
363,PENTA,7374.5,6567,1615,3.4e-05
364,VELAR,7374.5,6620,1509,3.3e-05
365,PLEAT,7374.5,6578,1593,1.7e-05
366,DELTA,7372.5,6652,1441,0.001695
367,STEIN,7372.0,6559,1626,0.000623
368,EOSIN,7372.0,6653,1438,7.9e-05
369,CAPES,7370.5,6346,2049,8.7e-05
370,ENROL,7370.5,6822,1097,5.1e-05
371,SLICE,7370.5,6243,2255,0.000636
372,TIRED,7367.5,6403,1929,0.002243
373,HANCE,7367.5,6290,2155,3.1e-05
374,CREST,7366.0,6516,1700,0.000952
375,ECLAT,7366.0,6784,1164,1.7e-05
376,DRONE,7365.0,6372,1986,0.000146
377,CAMEO,7362.0,6368,1988,7.3e-05
378,LEAPT,7359.0,6578,1562,0.000219
379,PETAL,7358.0,6578,1560,0.000122
380,GORSE,7355.5,6310,2091,5.1e-05
381,ARMED,7355.5,6511,1689,0.004663
382,METAL,7353.0,6592,1522,0.010224
383,VALSE,7353.0,6337,2032,2e-05
384,RAPHE,7352.5,6473,1759,4.9e-05
385,SAPOR,7352.0,6353,1998,1.1e-05
386,GRADE,7351.5,6403,1897,0.007744
387,NEATH,7351.0,6617,1468,9.9e-05
388,ARIUS,7348.5,6584,1529,4e-05
389,MOREL,7347.5,6323,2049,8.8e-05
390,NAIVE,7344.5,6345,1999,0.000469
391,OUTRE,7344.0,6538,1612,2.7e-05
392,CARER,7343.5,6133,2421,4.8e-05
393,MOLER,7342.5,6323,2039,1.1e-05
394,STRAY,7342.5,6347,1991,0.000453
395,ELAND,7340.0,6632,1416,3.5e-05
396,DINER,7340.0,6383,1914,0.000138
397,TREAT,7339.5,6477,1725,0.003561
398,PRONE,7339.5,6298,2083,0.000824
399,OUTER,7338.5,6538,1601,0.004516
400,PARIS,7336.0,6364,1944,0.008845
401,SUTRA,7334.5,6479,1711,0.000124
402,TRODE,7334.5,6392,1885,1.3e-05
403,ASHEN,7333.5,6703,1261,5.7e-05
404,BARGE,7332.5,6213,2239,0.000621
405,MARIS,7331.0,6378,1906,7.9e-05
406,WASTE,7329.5,6362,1935,0.007614
407,SEAMY,7329.5,6242,2175,1.6e-05
408,REPAY,7328.5,6511,1635,0.000577
409,RONDE,7327.0,6372,1910,3.4e-05
410,STAVE,7326.0,6346,1960,0.000137
411,SHADE,7324.5,6264,2121,0.001859
412,BORNE,7323.0,6182,2282,0.002458
413,LARUS,7322.0,6470,1704,2.7e-05
414,ASPEN,7322.0,6653,1338,0.000292
415,MISER,7320.0,6429,1782,9.6e-05
416,GENOA,7319.0,6567,1504,0.000325
417,ALIKE,7313.5,6429,1769,0.00229
418,CRAVE,7311.5,6302,2019,0.000154
419,DORIA,7310.0,6446,1728,4.7e-05
420,MINER,7309.5,6323,1973,0.000639
421,COREY,7309.0,6079,2460,0.000155
422,BROSE,7308.0,6288,2040,1.2e-05
423,CAMEL,7308.0,6265,2086,0.000405
424,SCAPE,7306.0,6346,1920,0.00011
425,EASEL,7299.5,6374,1851,9.3e-05
426,SATYR,7296.5,6347,1899,6e-05
427,TONAL,7296.0,6402,1788,0.000198
428,TALON,7295.5,6402,1787,5.8e-05
429,STENO,7291.0,6548,1486,3.1e-05
430,TAURI,7290.5,6498,1585,1.9e-05
431,TAKEN,7290.0,6313,1954,0.037977
432,LEMAN,7289.5,6572,1435,3.6e-05
433,CONES,7287.0,6221,2132,0.000466
434,THORE,7285.5,6368,1835,2.1e-05
435,ELIOT,7284.5,6578,1413,0.000749
436,TRIPE,7284.5,6329,1911,3.7e-05
437,THROE,7284.0,6368,1832,2.8e-05
438,MARAE,7282.5,6081,2403,1.5e-05
439,LOUIE,7279.5,6265,2029,0.000104
440,RHINE,7279.5,6359,1841,0.000549
441,BRINE,7278.5,6193,2171,0.000417
442,VALET,7278.5,6251,2055,0.000163
443,CURIE,7278.5,6222,2113,0.000165
444,OAKEN,7277.5,6407,1741,4.9e-05
445,LATIN,7277.5,6413,1729,0.005961
446,CAPEL,7274.5,6251,2047,4.8e-05
447,LEMNA,7273.0,6572,1402,1.2e-05
448,MITRE,7271.5,6343,1857,0.000108
449,BONER,7271.5,6182,2179,2.3e-05
450,BLEAT,7271.0,6462,1618,1.9e-05
451,ATTER,7267.0,6477,1580,3.9e-05
452,MITER,7266.0,6343,1846,4.4e-05
453,MOIRA,7265.5,6386,1759,8.9e-05
454,FEAST,7264.5,6389,1751,0.001206
455,STATE,7261.0,6194,2134,0.117143
456,GRAPE,7259.0,6329,1860,0.00065
457,LACED,7258.5,6325,1867,0.000212
458,GENAL,7258.5,6464,1589,1.4e-05
459,SHAME,7258.0,6204,2108,0.001673
460,ISLET,7256.5,6570,1373,0.000166
461,EATEN,7256.5,6277,1959,0.001279
462,TACHE,7254.0,6310,1888,1.3e-05
463,IDEAL,7253.0,6757,992,0.004788
464,TIMER,7251.5,6343,1817,0.000282
465,ACUTE,7250.5,6480,1541,0.004264
466,TASTE,7249.5,6194,2111,0.004093
467,POISE,7248.5,6140,2217,0.000139
468,AMENT,7247.0,6581,1332,1.7e-05
469,AVERT,7244.5,6629,1231,0.000275
470,PLACE,7244.0,6251,1986,0.053418
471,CONTE,7243.5,6135,2217,0.000143
472,SCONE,7243.5,6221,2045,3.5e-05
473,INURE,7243.5,6529,1429,5.8e-05
474,MOISE,7243.5,6154,2179,2.6e-05
475,TROPE,7242.0,6318,1848,8.7e-05
476,LAIRD,7241.5,6343,1797,0.000323
477,BEARD,7241.0,6381,1720,0.000982
478,MAREK,7238.5,6183,2111,6.1e-05
479,STREE,7237.5,6020,2435,1.3e-05
480,TETRA,7236.5,6477,1519,8.1e-05
481,FAERY,7236.5,6227,2019,3.4e-05
482,ALIVE,7235.5,6356,1759,0.00339
483,EARED,7234.5,6207,2055,9.2e-05
484,INSET,7232.5,6559,1347,0.000173
485,SHAPE,7232.0,6190,2084,0.007462
486,MERIT,7232.0,6343,1778,0.002725
487,GONER,7232.0,6204,2056,1.1e-05
488,FADER,7230.0,6213,2034,3.5e-05
489,LOUSE,7227.5,6246,1963,0.000104
490,PICEA,7227.0,6365,1724,7.2e-05
491,CLARO,7226.5,6464,1525,1.9e-05
492,CURSE,7226.5,6203,2047,0.000894
493,SHARI,7224.5,6414,1621,4e-05
494,SUCRE,7224.5,6203,2043,3.5e-05
495,ONSET,7224.0,6548,1352,0.001502
496,DERMA,7220.0,6511,1418,1.1e-05
497,LOPER,7218.5,6309,1819,1.6e-05
498,ANGLE,7217.0,6464,1506,0.005463
499,RECAP,7217.0,6629,1176,4.5e-05
500,DARTS,7216.0,6333,1766,0.000155
501,ALATE,7215.0,6222,1986,1.4e-05
502,CLOSE,7215.0,6232,1966,0.019273
503,PARSI,7213.5,6364,1699,3.2e-05
504,SHINE,7212.0,6076,2272,0.000725
505,SANCT,7211.0,6076,2270,1.3e-05
506,CABLE,7209.5,6135,2149,0.003794
507,TORAH,7209.0,6317,1784,0.0004
508,SAUVE,7207.0,6033,2348,1.3e-05
509,SPADE,7205.0,6214,1982,0.000235
510,MAORI,7204.0,6386,1636,0.000322
511,HADES,7203.0,6264,1878,0.000134
512,SWEAT,7202.5,6362,1681,0.000972
513,PANED,7202.0,6108,2188,1.2e-05
514,CRUSE,7201.5,6203,1997,3.6e-05
515,ELATE,7199.5,6288,1823,1.7e-05
516,MANOR,7199.5,6261,1877,0.000984
517,RADIO,7198.5,6446,1505,0.007209
518,TRIAD,7197.0,6352,1690,0.000228
519,SAULT,7196.5,6101,2191,0.000143
520,INLET,7194.5,6464,1461,0.001228
521,COAST,7191.5,6190,2003,0.009063
522,MANDE,7190.5,6122,2137,1.9e-05
523,NEPAL,7189.5,6558,1263,0.000532
524,SOWER,7186.5,6093,2187,5.2e-05
525,CLINE,7185.5,6137,2097,0.000148
526,PAROL,7182.0,6258,1848,0.000297
527,CEASE,7182.0,6056,2252,0.002061
528,SLIDE,7180.0,6111,2138,0.001848
529,BREAD,7180.0,6381,1598,0.003555
530,SELVA,7180.0,6337,1686,2.2e-05
531,SALIC,7179.5,6192,1975,1.8e-05
532,SIDLE,7179.0,6111,2136,1.2e-05
533,CAREX,7178.5,6125,2107,5.5e-05
534,STEAK,7178.0,6419,1518,0.000297
535,DREAM,7178.0,6511,1334,0.003963
536,CANIS,7174.5,6181,1987,6.1e-05
537,PALED,7174.5,6119,2111,6.5e-05
538,RELIC,7172.5,6526,1293,0.00025
539,MORAN,7172.0,6261,1822,0.00032
540,GLEAN,7171.0,6464,1414,7.5e-05
541,DRAKE,7170.5,6243,1855,0.000688
542,DRAIN,7169.5,6332,1675,0.001587
543,SHONE,7169.5,6065,2209,0.000585
544,BITER,7167.5,6213,1909,1.3e-05
545,ANGEL,7167.0,6464,1406,0.001788
546,MAKER,7166.5,6183,1967,0.001654
547,TAPIR,7166.0,6278,1776,2.2e-05
548,PERIL,7165.5,6320,1691,0.000652
549,SNEAK,7165.5,6399,1533,0.000198
550,CREAK,7163.5,6375,1577,6.8e-05
551,POLAR,7161.0,6258,1806,0.001292
552,MORAL,7161.0,6272,1778,0.008495
553,SKIER,7160.0,6161,1998,4.2e-05
554,PHASE,7157.5,6190,1935,0.011014
555,MOLAR,7156.0,6272,1768,0.000506
556,SENNA,7156.0,6146,2020,4.8e-05
557,SMART,7155.0,6273,1764,0.001639
558,AMUSE,7154.5,6374,1561,0.000249
559,TROAD,7154.5,6341,1627,1.1e-05
560,DINAR,7153.5,6332,1643,3.5e-05
561,SPRAT,7153.5,6259,1789,2.9e-05
562,SALTY,7153.0,5969,2368,0.000159
563,TRIBE,7149.0,6213,1872,0.002224
564,LUNAR,7148.0,6364,1568,0.000666
565,DREST,7147.0,6384,1526,2.7e-05
566,NADIR,7146.0,6332,1628,9.9e-05
567,CLONE,7143.0,6126,2034,0.000236
568,TIGRE,7141.5,6235,1813,2.8e-05
569,RECON,7140.5,6504,1273,7.7e-05
570,PORTA,7139.0,6267,1744,0.000145
571,SUANT,7138.5,6090,2097,1.3e-05
572,SHIEL,7138.0,6087,2102,1.5e-05
573,TEACH,7137.5,6310,1655,0.003669
574,CORED,7136.5,6065,2143,8.9e-05
575,TIGER,7136.0,6235,1802,0.00073
576,PEATY,7135.5,6142,1987,4.2e-05
577,BAIRN,7133.5,6142,1983,2.6e-05
578,MEATY,7130.5,6156,1949,4.5e-05
579,ADIEU,7129.5,6453,1353,0.000179
580,SWIRE,7129.0,6104,2050,1.5e-05
581,MEALY,7128.0,6147,1962,6.1e-05
582,PAVER,7127.5,6096,2063,2.4e-05
583,OLDER,7126.0,6383,1486,0.007037
584,SUAVE,7125.0,6033,2184,5.3e-05
